iter	Passed	Remaining
0	139	139604
1	141	70489
2	142	47382
3	143	35813
4	145	28876
5	146	24235
6	147	20933
7	148	18450
8	149	16516
9	151	14980
10	152	13725
11	154	12719
12	156	11859
13	157	11094
14	158	10423
15	159	9839
16	161	9322
17	162	8865
18	163	8457
19	165	8112
20	166	7776
21	168	7477
22	169	7212
23	171	6961
24	172	6726
25	173	6507
26	174	6302
27	176	6122
28	177	5946
29	178	5783
30	180	5634
31	181	5489
32	182	5355
33	184	5243
34	185	5122
35	187	5008
36	188	4901
37	189	4799
38	190	4702
39	192	4612
40	193	4530
41	195	4451
42	196	4374
43	198	4302
44	199	4233
45	200	4163
46	201	4095
47	203	4030
48	204	3968
49	205	3907
50	207	3852
51	208	3800
52	210	3753
53	211	3705
54	213	3662
55	214	3618
56	215	3572
57	217	3527
58	218	3483
59	219	3441
60	221	3406
61	222	3368
62	223	3329
63	225	3293
64	226	3259
65	228	3227
66	229	3195
67	230	3155
68	231	3122
69	232	3091
70	234	3061
71	235	3032
72	236	3004
73	237	2976
74	239	2948
75	240	2921
76	241	2898
77	243	2876
78	244	2853
79	246	2829
80	247	2805
81	248	2782
82	249	2760
83	251	2740
84	252	2714
85	253	2693
86	254	2671
87	255	2650
88	257	2631
89	258	2611
90	259	2593
91	260	2575
92	262	2556
93	263	2539
94	264	2521
95	266	2506
96	267	2493
97	269	2479
98	271	2466
99	272	2452
100	274	2439
101	274	2419
102	276	2404
103	277	2389
104	278	2376
105	280	2364
106	281	2352
107	283	2339
108	284	2329
109	286	2317
110	287	2304
111	289	2291
112	290	2279
113	291	2268
114	293	2258
115	294	2245
116	296	2236
117	298	2227
118	299	2215
119	300	2205
120	302	2195
121	303	2185
122	304	2171
123	306	2162
124	307	2153
125	309	2145
126	311	2140
127	312	2129
128	314	2120
129	315	2111
130	316	2101
131	318	2091
132	319	2082
133	320	2073
134	322	2063
135	323	2053
136	324	2045
137	326	2037
138	327	2030
139	329	2021
140	330	2012
141	331	2003
142	333	1996
143	334	1988
144	335	1979
145	336	1970
146	338	1961
147	339	1954
148	341	1950
149	343	1944
150	344	1937
151	345	1929
152	347	1922
153	348	1915
154	349	1907
155	351	1899
156	352	1893
157	354	1888
158	355	1882
159	357	1876
160	358	1869
161	360	1863
162	361	1857
163	362	1849
164	364	1842
165	365	1835
166	366	1829
167	368	1823
168	369	1818
169	371	1813
170	372	1808
171	374	1802
172	375	1796
173	377	1790
174	378	1784
175	379	1778
176	381	1771
177	382	1765
178	383	1759
179	385	1755
180	386	1747
181	387	1741
182	389	1736
183	390	1730
184	391	1725
185	392	1719
186	394	1713
187	395	1708
188	396	1702
189	398	1697
190	399	1692
191	400	1687
192	402	1682
193	403	1677
194	405	1672
195	406	1667
196	407	1662
197	408	1656
198	410	1651
199	411	1646
200	412	1640
201	414	1635
202	415	1631
203	417	1627
204	418	1622
205	419	1616
206	420	1611
207	422	1607
208	423	1602
209	424	1598
210	426	1593
211	427	1588
212	428	1583
213	431	1583
214	432	1578
215	433	1574
216	435	1570
217	436	1566
218	438	1562
219	439	1557
220	440	1552
221	441	1548
222	443	1543
223	444	1540
224	446	1536
225	447	1532
226	448	1528
227	450	1523
228	451	1519
229	452	1515
230	453	1510
231	455	1506
232	456	1501
233	457	1497
234	458	1494
235	460	1490
236	461	1487
237	463	1483
238	464	1479
239	466	1476
240	467	1472
241	468	1468
242	469	1464
243	471	1460
244	472	1456
245	473	1452
246	475	1449
247	476	1445
248	478	1442
249	479	1437
250	480	1433
251	481	1429
252	482	1425
253	483	1421
254	485	1417
255	486	1413
256	487	1409
257	489	1406
258	490	1403
259	492	1400
260	493	1397
261	494	1393
262	496	1390
263	497	1386
264	498	1382
265	500	1379
266	501	1376
267	502	1372
268	503	1369
269	505	1366
270	506	1362
271	507	1358
272	508	1355
273	510	1351
274	511	1348
275	512	1345
276	514	1342
277	515	1339
278	517	1336
279	518	1333
280	519	1330
281	521	1326
282	522	1323
283	523	1320
284	525	1317
285	526	1314
286	528	1311
287	529	1309
288	531	1307
289	532	1304
290	534	1301
291	535	1298
292	537	1295
293	538	1292
294	539	1290
295	541	1287
296	542	1284
297	544	1282
298	545	1279
299	546	1276
300	548	1273
301	549	1270
302	551	1267
303	552	1265
304	553	1262
305	555	1260
306	556	1257
307	558	1254
308	560	1252
309	561	1250
310	563	1247
311	564	1244
312	565	1242
313	567	1239
314	568	1236
315	570	1233
316	571	1231
317	572	1228
318	574	1225
319	575	1222
320	576	1219
321	577	1216
322	579	1214
323	580	1211
324	582	1209
325	583	1206
326	585	1204
327	586	1201
328	588	1199
329	589	1197
330	591	1194
331	592	1192
332	593	1189
333	594	1186
334	596	1183
335	597	1181
336	599	1178
337	600	1176
338	601	1173
339	603	1171
340	604	1168
341	606	1166
342	607	1163
343	608	1160
344	610	1158
345	611	1155
346	612	1153
347	614	1150
348	615	1147
349	616	1144
350	617	1142
351	619	1139
352	620	1137
353	622	1135
354	623	1132
355	624	1129
356	625	1127
357	627	1124
358	628	1122
359	629	1119
360	631	1117
361	632	1114
362	633	1112
363	635	1109
364	636	1107
365	637	1104
366	638	1101
367	640	1099
368	641	1097
369	642	1094
370	644	1092
371	645	1089
372	646	1087
373	648	1085
374	649	1082
375	651	1080
376	652	1078
377	653	1075
378	655	1073
379	656	1071
380	658	1069
381	659	1067
382	661	1065
383	662	1063
384	664	1061
385	665	1058
386	666	1056
387	667	1053
388	669	1050
389	670	1048
390	671	1045
391	672	1043
392	673	1040
393	675	1038
394	676	1035
395	677	1033
396	678	1031
397	680	1028
398	681	1026
399	682	1023
400	684	1021
401	685	1019
402	686	1017
403	688	1015
404	689	1012
