iter	Passed	Remaining
0	144	144843
1	146	73035
2	147	49057
3	148	37076
4	150	29898
5	151	25122
6	152	21695
7	154	19159
8	155	17171
9	157	15588
10	158	14275
11	160	13195
12	161	12267
13	162	11468
14	164	10773
15	165	10166
16	166	9631
17	167	9156
18	169	8743
19	171	8414
20	173	8070
21	174	7770
22	176	7480
23	177	7215
24	178	6970
25	180	6745
26	181	6533
27	182	6336
28	184	6177
29	186	6024
30	187	5868
31	189	5728
32	190	5588
33	192	5462
34	193	5336
35	195	5226
36	196	5113
37	197	5010
38	199	4916
39	201	4827
40	202	4742
41	204	4660
42	205	4580
43	207	4502
44	208	4427
45	209	4353
46	211	4283
47	212	4221
48	214	4162
49	216	4105
50	217	4048
51	219	3995
52	220	3940
53	221	3886
54	223	3832
55	224	3782
56	225	3734
57	227	3687
58	228	3646
59	229	3600
60	231	3561
61	232	3524
62	234	3486
63	235	3447
64	237	3409
65	238	3373
66	239	3340
67	241	3305
68	242	3271
69	244	3241
70	245	3213
71	246	3183
72	248	3153
73	249	3122
74	250	3093
75	252	3067
76	253	3041
77	254	3013
78	256	2986
79	257	2960
80	258	2937
81	260	2915
82	261	2885
83	262	2862
84	263	2839
85	265	2820
86	266	2799
87	268	2778
88	269	2759
89	271	2741
90	272	2721
91	273	2703
92	275	2686
93	277	2669
94	278	2651
95	279	2635
96	281	2619
97	282	2601
98	283	2584
99	285	2567
100	286	2551
101	288	2538
102	289	2524
103	291	2509
104	292	2495
105	294	2480
106	295	2466
107	296	2452
108	298	2440
109	299	2425
110	300	2410
111	302	2398
112	304	2386
113	305	2373
114	306	2361
115	308	2350
116	309	2336
117	310	2323
118	312	2310
119	313	2297
120	314	2284
121	315	2270
122	317	2260
123	318	2249
124	319	2238
125	321	2230
126	322	2218
127	324	2210
128	326	2202
129	327	2191
130	328	2181
131	330	2172
132	332	2165
133	333	2156
134	335	2149
135	337	2141
136	338	2131
137	339	2122
138	341	2113
139	342	2105
140	344	2097
141	345	2085
142	346	2077
143	348	2071
144	350	2064
145	351	2056
146	353	2049
147	354	2040
148	355	2031
149	357	2024
150	358	2017
151	360	2010
152	361	2002
153	363	1996
154	365	1991
155	366	1984
156	368	1978
157	369	1969
158	370	1961
159	372	1953
160	373	1943
161	374	1935
162	375	1927
163	376	1919
164	378	1914
165	379	1907
166	381	1900
167	382	1893
168	383	1887
169	385	1879
170	386	1872
171	387	1865
172	388	1858
173	390	1852
174	391	1845
175	392	1839
176	394	1834
177	395	1828
178	397	1822
179	398	1816
180	399	1809
181	401	1802
182	402	1796
183	403	1790
184	404	1783
185	405	1776
186	407	1773
187	409	1768
188	410	1763
189	412	1757
190	413	1751
191	414	1745
192	416	1739
193	417	1733
194	418	1727
195	419	1721
